Location,1 Energy (Mt),2 Industrial Processes (Mt),3 Agriculture (Mt),"4 Land Use, Land-Use Change and Forestry UNFCCC (Mt)",5 Waste (Mt),7 Other (Mt),Year,Total (MT)
SA,19.4721,2.6385,6.7509,1.0528,1.6591,Not available,1991,31.5734
TAS,3.841,1.3023,2.5562,14.7882,0.5676,Not available,1991,23.0553
VIC,80.7253,2.5004,16.4418,0.3074,6.1779,Not available,1991,106.1528
WA,34.6797,1.5994,11.9545,27.4338,2.0635,Not available,1991,77.7309
ACT,0.9068,0.0258,0.0591,-0.1711,0.3246,Not available,1990,1.1452
EXTERNAL TERRITORIES (ET),0.0046,0.0003,Not available,-0.0003,0.0031,Not available,1990,0.0077
NSW,104.5201,13.2113,29.1499,13.6739,8.4604,Not available,1990,169.0156
NT,4.6114,0.122,2.5643,11.5347,0.1459,Not available,1990,18.9783
QLD,49.824,3.2616,23.6143,107.5277,3.9619,Not available,1990,188.1895
SA,21.1785,2.7588,7.0079,4.2656,1.6575,Not available,1990,36.8683
TAS,3.6944,1.4174,2.6332,11.2331,0.568,Not available,1990,19.5461
VIC,79.3911,2.528,16.7859,3.263,6.3664,Not available,1990,108.3344
WA,32.7854,1.7881,12.4279,29.3751,1.9744,Not available,1990,78.3509
